128.4			128.4			0			0.1			0			0			0			0			
65.81			65.81			0			0			0.1			0			0			0			
-1.138			-1.138			0			0			0			0.1			0			0			
0			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


128.4			128.4			128.4			0.1			0			0			0			0			
66.02			65.89			65.81			0			0.1			0			0			0			
-1.107			-1.127			-1.138			0			0			0.1			0			0			
0			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


128.4			128.4			128.4			0.1			0			0			0			0			
66.02			65.93			65.89			0			0.1			0			0			0			
-1.107			-1.12			-1.127			0			0			0.1			0			0			
0			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


128.4			128.4			128.4			0.1			0			0			0			0			
66.02			65.96			65.93			0			0.1			0			0			0			
-1.107			-1.116			-1.12			0			0			0.1			0			0			
0			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


128.4			128.4			128.4			0.1			0			0			0			0			
66.02			65.97			65.96			0			0.1			0			0			0			
-1.107			-1.114			-1.116			0			0			0.1			0			0			
0			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


128.4			128.4			128.4			0.1			0			0			0			0			
66.02			65.98			65.97			0			0.1			0			0			0			
-1.107			-1.112			-1.114			0			0			0.1			0			0			
0			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


128.4			128.3			128.3			0.1			0			0			0			0			
66.02			66.07			66.09			0			0.1			0			0			0			
-1.071			-1.101			-1.112			0			0			0.1			0			0			
2.576			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


128.2			128.1			128.1			0.1			0			0			0			0			
66.02			66.45			66.61			0			0.1			0			0			0			
-1.144			-0.9298			-0.8751			0			0			0.1			0			0			
6.44			-1			-1			0			0			0			0.1			0			
2.43			-1			-1			0			0			0			0			0.1			


128.2			127.9			127.8			0.1			0			0			0			0			
66.02			66.66			66.88			0			0.1			0			0			0			
-1.077			-0.8001			-0.7305			0			0			0.1			0			0			
6.44			-1			-1			0			0			0			0.1			0			
2.43			-1			-1			0			0			0			0			0.1			


128			127.6			127.5			0.1			0			0			0			0			
66.83			67.03			67.08			0			0.1			0			0			0			
-0.7854			-0.8194			-0.8001			0			0			0.1			0			0			
10.03			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


127.8			127.4			127.3			0.1			0			0			0			0			
67.03			67.3			67.39			0			0.1			0			0			0			
-0.838			-0.8352			-0.8194			0			0			0.1			0			0			
10.03			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


127.4			127.1			127			0.1			0			0			0			0			
67.64			67.74			67.76			0			0.1			0			0			0			
-0.7854			-0.8429			-0.8352			0			0			0.1			0			0			
10.03			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


127.4			127			126.8			0.1			0			0			0			0			
67.84			68.02			68.07			0			0.1			0			0			0			
-0.7854			-0.8538			-0.8429			0			0			0.1			0			0			
10.03			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


126.5			126.5			126.5			0.1			0			0			0			0			
68.45			68.57			68.62			0			0.1			0			0			0			
-0.9098			-0.8597			-0.8538			0			0			0.1			0			0			
10.03			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


126.5			126.2			126.1			0.1			0			0			0			0			
69.06			69.1			69.07			0			0.1			0			0			0			
-0.838			-0.8974			-0.8597			0			0			0.1			0			0			
10.03			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


125.7			125.8			125.8			0.1			0			0			0			0			
69.47			69.55			69.59			0			0.1			0			0			0			
-0.9601			-0.8929			-0.8974			0			0			0.1			0			0			
10.03			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


125.7			125.4			125.2			0.1			0			0			0			0			
70.08			70.22			70.24			0			0.1			0			0			0			
-0.7854			-0.9062			-0.8929			0			0			0.1			0			0			
10.03			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


124.9			125			125.1			0.1			0			0			0			0			
70.89			70.69			70.63			0			0.1			0			0			0			
-0.7854			-0.8838			-0.9062			0			0			0.1			0			0			
10.03			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


124.9			124.8			124.8			0.1			0			0			0			0			
71.09			71.05			71.02			0			0.1			0			0			0			
-0.838			-0.8891			-0.8838			0			0			0.1			0			0			
10.03			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


124.5			124.4			124.3			0.1			0			0			0			0			
71.7			71.7			71.69			0			0.1			0			0			0			
-0.7854			-0.8878			-0.8891			0			0			0.1			0			0			
10.03			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


124.1			124			124			0.1			0			0			0			0			
72.31			72.24			72.2			0			0.1			0			0			0			
-0.7854			-0.8868			-0.8878			0			0			0.1			0			0			
10.03			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


123.7			123.6			123.5			0.1			0			0			0			0			
72.72			72.81			72.84			0			0.1			0			0			0			
-0.838			-0.8838			-0.8868			0			0			0.1			0			0			
10.03			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


123.3			123.1			123.1			0.1			0			0			0			0			
73.33			73.42			73.44			0			0.1			0			0			0			
-0.7854			-0.8772			-0.8838			0			0			0.1			0			0			
10.03			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


122.5			122.7			122.8			0.1			0			0			0			0			
73.94			73.88			73.87			0			0.1			0			0			0			
-0.9601			-0.8771			-0.8772			0			0			0.1			0			0			
10.03			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


122.5			122.3			122.3			0.1			0			0			0			0			
74.34			74.37			74.36			0			0.1			0			0			0			
-0.838			-0.8857			-0.8771			0			0			0.1			0			0			
10.03			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


122.1			121.9			121.8			0.1			0			0			0			0			
74.75			74.93			75			0			0.1			0			0			0			
-0.838			-0.8803			-0.8857			0			0			0.1			0			0			
10.03			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


121.7			121.6			121.5			0.1			0			0			0			0			
75.77			75.51			75.39			0			0.1			0			0			0			
-0.7328			-0.8884			-0.8803			0			0			0.1			0			0			
10.03			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


121.1			121.2			121.3			0.1			0			0			0			0			
75.97			75.87			75.84			0			0.1			0			0			0			
-0.8961			-0.8789			-0.8884			0			0			0.1			0			0			
10.03			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


120.9			120.8			120.8			0.1			0			0			0			0			
76.38			76.35			76.35			0			0.1			0			0			0			
-0.838			-0.8729			-0.8789			0			0			0.1			0			0			
10.03			-1			-1			0			0			0			0.1			0			
-0			-1			-1			0			0			0			0			0.1			


120.5			120.4			120.4			0.1			0			0			0			0			
76.98			76.92			76.9			0			0.1			0			0			0			
-0.7854			-0.8658			-0.8729			0			0			0.1			0			0			
10.03			-1			-1			0			0			0			0.1			0			
